,"smt.arith.nl.patch_monomials=false","-file:{0} smt.arith.nl.patch_monomials=false",,,,,,
,"RV 11692","T_norm 11692","T_cpu 11692","T_wc 11692","# SAT 11692","# UNSAT 11692","# UNKNOWN 11692",
"QF_NIA_small\400.smt2",0,0.111466325660699,0.125,0.251,1,0,0,
"QF_NIA_small\424.smt2",0,26.2222013052209,24.969,26.033,1,0,0,
"QF_NIA_small\443.smt2",0,0.0802475450081833,0.094,0.218,1,0,0,
"QF_NIA_small\449.smt2",0,0.219747899159664,0.25,0.38,1,0,0,
"QF_NIA_small\455.smt2",0,0.0987964162348877,0.109,0.227,1,0,0,
"QF_NIA_small\460.smt2",0,0.241813533507398,0.266,0.398,1,0,0,
"QF_NIA_small\466.smt2",0,0.113154478580701,0.125,0.214,1,0,0,
"QF_NIA_small\485.smt2",0,29.5138205731394,32.984,34.322,1,0,0,
"QF_NIA_small\496.smt2",0,0.0602645648967552,0.078,0.201,1,0,0,
"QF_NIA_small\498.smt2",0,0.0872996947729874,0.109,0.244,1,0,0,
"QF_NIA_small\500.smt2",0,0.083356102003643,0.109,0.256,1,0,0,
"QF_NIA_small\507.smt2",0,0.0775320208728653,0.078,0.766,1,0,0,
"QF_NIA_small\514.smt2",0,0.0968518518518519,0.094,0.198,1,0,0,
"QF_NIA_small\520.smt2",0,0.100180604203152,0.109,0.217,1,0,0,
"QF_NIA_small\527.smt2",0,0.101065591872792,0.109,0.173,1,0,0,
"QF_NIA_small\535.smt2",0,0.143934390136504,0.156,0.219,1,0,0,
"QF_NIA_small\54.smt2",,884.566596194503,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.168637145313843,0.188,0.258,1,0,0,
"QF_NIA_small\551.smt2",0,0.0725099822537711,0.078,0.118,1,0,0,
"QF_NIA_small\572.smt2",0,233.85508617066,265.938,276.467,1,0,0,
"QF_NIA_small\573.smt2",0,0.943286573146293,1.125,1.29,1,0,0,
"QF_NIA_small\574.smt2",0,1.01920935412027,1.094,1.288,1,0,0,
"QF_NIA_small\58.smt2",,763.225100328347,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,8.65331879844961,10.672,11.174,1,0,0,
"QF_NIA_small\586.smt2",0,9.73954081632653,10.266,10.643,0,1,0,
"QF_NIA_small\599.smt2",0,0.176615752285952,0.203,0.428,1,0,0,
"QF_NIA_small\604.smt2",0,1.23660151324086,1.406,1.649,0,1,0,
"QF_NIA_small\624.smt2",0,0.104432907348243,0.125,0.295,1,0,0,
"QF_NIA_small\625.smt2",0,0.237535324989907,0.281,0.482,1,0,0,
"QF_NIA_small\65.smt2",,880.100967606226,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.182696786213321,0.188,0.371,1,0,0,
"QF_NIA_small\673.smt2",0,25.1231100377992,28.594,29.765,1,0,0,
"QF_NIA_small\677.smt2",0,1.80046434671221,2.016,2.148,1,0,0,
"QF_NIA_small\701.smt2",0,0.0266945692119232,0.031,0.201,1,0,0,
"QF_NIA_small\706.smt2",0,0.0402720739219713,0.047,0.151,1,0,0,
"QF_NIA_small\707.smt2",0,0.0913058659217877,0.109,0.22,1,0,0,
"QF_NIA_small\709.smt2",0,0.057021369385085,0.063,0.103,1,0,0,
"QF_NIA_small\711.smt2",0,0.0550758213984836,0.063,0.173,1,0,0,
"QF_NIA_small\722.smt2",0,0.0543433083956775,0.063,0.197,1,0,0,
"QF_NIA_small\73.smt2",,987.724268177526,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0586060062752129,0.063,0.116,1,0,0,
"QF_NIA_small\74.smt2",0,0.0505607115235886,0.063,0.141,1,0,0,
