,"z3","{0}",,,,,,
,"RV 11747","T_norm 11747","T_cpu 11747","T_wc 11747","# SAT 11747","# UNSAT 11747","# UNKNOWN 11747",
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20626_edge_closing_0.smt2",0,0.883078761429759,1.016,1.184,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20627_edge_closing_0.smt2",0,33.2561050401427,35.641,37.125,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20638_terminationG_0.smt2",0,2.08588485929449,2.516,2.713,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20639_terminationG_0.smt2",0,1.28321549176868,1.453,1.61,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20650_terminationG_0.smt2",0,0.871095456531236,0.953,1.123,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20651_terminationG_0.smt2",0,37.0287029375259,42.781,44.567,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20652_terminationG_0.smt2",,865.894039735099,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20655_terminationG_0.smt2",0,21.7569250697489,26.094,27.172,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20656_terminationG_0.smt2",,922.805469783855,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20657_terminationG_0.smt2",,888.700084961767,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20661_edge_closing_0.smt2",0,23.1092334692029,24.391,25.38,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20662_edge_closing_0.smt2",,897.084048027444,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20668_edge_closing_0.smt2",,868.410128684101,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20669_edge_closing_0.smt2",,857.728577285773,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__terminationQ_1_0.smt2",0,90.2628499791057,103.25,107.416,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20685_terminationG_0.smt2",0,4.77015174343521,5.297,5.524,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20688_terminationG_0.smt2",0,0.351478494623656,0.375,0.51,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20689_terminationG_0.smt2",0,12.879892949827,14.234,14.831,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20690_terminationG_0.smt2",0,182.705326274849,202.094,210.234,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20693_edge_closing_0.smt2",0,6.73111406756131,6.953,7.303,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20694_edge_closing_0.smt2",,912.739965095986,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__terminationS_1_0.smt2",0,0.261170100925147,0.297,0.453,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Benghazi_true-termination.c__p20729_terminationG_0.smt2",0,1.21716576940332,1.297,1.413,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1_true-termination.c__p20785_terminationG_0.smt2",0,0.392520703933747,0.453,0.623,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1_true-termination.c__p20786_terminationG_0.smt2",0,0.965154146765089,1.063,1.163,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20762_terminationG_0.smt2",0,1.2511961722488,1.375,1.543,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20763_terminationG_0.smt2",,863.748967795211,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20774_edge_closing_0.smt2",0,4.52140022675737,4.766,4.971,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20777_edge_closing_0.smt2",0,1.97777662660588,2.281,2.483,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-ICALP2005-Fig1_true-termination.c__p20810_terminationG_0.smt2",0,1.11905642434489,1.266,1.409,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-ICALP2005-Fig1_true-termination.c__p20814_terminationG_0.smt2",0,6.34647731641676,7.891,8.213,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c__p20828_terminationG_0.smt2",0,0.883857808857809,0.906,1.041,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c__p20837_terminationG_0.smt2",0,0.318160177740161,0.359,0.514,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20849_terminationG_0.smt2",0,0.488081271331058,0.547,0.712,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20853_terminationG_0.smt2",0,0.26076984443558,0.313,0.522,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20854_terminationG_0.smt2",0,7.08323421280277,7.828,8.167,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20855_terminationG_0.smt2",,909.169926119079,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20858_terminationG_0.smt2",0,33.2318491064175,39.109,40.674,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20859_terminationG_0.smt2",,824.59597950335,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20860_terminationG_0.smt2",,937.696100403407,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20863_terminationG_0.smt2",0,31.9802845088706,35.328,36.791,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20864_terminationG_0.smt2",,858.784893267652,1000,1000,0,0,0,
