,"smt.arith.nl.incremental_linearization=false","-file:{0} smt.arith.nl.incremental_linearization=false",,,,,,
,"RV 11691","T_norm 11691","T_cpu 11691","T_wc 11691","# SAT 11691","# UNSAT 11691","# UNKNOWN 11691",
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0271716541978387,0.031,0.177,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0428220524017467,0.047,0.166,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0301963048498845,0.031,0.099,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.45559051306874,1.438,1.736,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,13.0830181929681,15.297,16.098,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,17.7434310121107,19.609,20.378,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.02633964544722,0.031,0.17,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.47468775593776,6.391,6.745,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0268040180401804,0.031,0.096,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,19.1118161925602,20.875,21.738,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0684125156969443,0.078,0.167,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.6965830449827,1.875,2.179,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.693327441449404,0.75,1.026,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",,886.440677966102,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.760495981387479,0.859,1.184,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.120519254403933,0.141,0.281,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.462066803465572,0.484,0.695,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0567491319444444,0.063,0.289,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,8.75223312748125,9.484,9.888,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.1634375,0.172,0.221,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0474649080348502,0.047,0.123,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.080181929681112,0.094,0.398,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0903326095538886,0.109,0.162,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0562365591397849,0.063,0.192,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.631509869802604,0.719,1.045,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0273879346459992,0.031,0.135,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0406224109362055,0.047,0.27,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.73168399372303,4.547,5.112,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,54.8137705449827,60.578,63.049,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.12949072246348,5,5.189,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",,866.611433305717,1000,1000,0,0,0,
