,"smt.arith.nl.divisions_check=false","-file:{0} smt.arith.nl.divisions_check=false",,,,,,
,"RV 11682","T_norm 11682","T_cpu 11682","T_wc 11682","# SAT 11682","# UNSAT 11682","# UNKNOWN 11682",
"QF_NIA_small\34.smt2",0,51.4254718916701,59.906,62.352,1,0,0,
"QF_NIA_small\35.smt2",,858.432498974149,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0578795927401505,0.063,0.185,1,0,0,
"QF_NIA_small\364.smt2",0,0.0718090949033392,0.078,0.233,1,0,0,
"QF_NIA_small\367.smt2",0,0.0710906916050457,0.078,0.176,1,0,0,
"QF_NIA_small\370.smt2",0,0.0570960698689956,0.063,0.113,1,0,0,
"QF_NIA_small\377.smt2",0,0.0556619838229034,0.063,1.267,1,0,0,
"QF_NIA_small\40.smt2",,906.019922044175,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.134762940907009,0.141,0.182,1,0,0,
"QF_NIA_small\424.smt2",0,23.3938589035274,26.313,28.439,1,0,0,
"QF_NIA_small\443.smt2",0,0.0884641407307172,0.094,0.205,1,0,0,
"QF_NIA_small\449.smt2",0,0.21260162601626,0.25,0.444,1,0,0,
"QF_NIA_small\455.smt2",0,0.117054610564011,0.125,0.195,1,0,0,
"QF_NIA_small\460.smt2",0,0.233482142857143,0.25,0.483,1,0,0,
"QF_NIA_small\466.smt2",0,0.0876732230666071,0.094,0.189,1,0,0,
"QF_NIA_small\485.smt2",0,30.0484039052216,32.734,34.092,1,0,0,
"QF_NIA_small\496.smt2",0,0.0287362637362637,0.031,0.149,1,0,0,
"QF_NIA_small\498.smt2",0,0.0678445413034454,0.078,0.19,1,0,0,
"QF_NIA_small\500.smt2",0,0.082060669456067,0.094,0.204,1,0,0,
"QF_NIA_small\507.smt2",0,0.0547529313232831,0.063,0.163,1,0,0,
"QF_NIA_small\514.smt2",0,0.0975746268656716,0.094,0.174,1,0,0,
"QF_NIA_small\520.smt2",0,0.0914762126865672,0.094,0.182,1,0,0,
"QF_NIA_small\527.smt2",0,0.116793211255025,0.125,0.22,1,0,0,
"QF_NIA_small\535.smt2",0,0.123400796979866,0.141,0.267,1,0,0,
"QF_NIA_small\54.smt2",,941.918054930212,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.1042663476874,0.125,0.272,1,0,0,
"QF_NIA_small\551.smt2",0,0.0719355193661972,0.078,0.161,1,0,0,
"QF_NIA_small\572.smt2",0,221.669729047828,241.484,251.078,1,0,0,
"QF_NIA_small\573.smt2",0,1.07571851689337,1.172,1.364,1,0,0,
"QF_NIA_small\574.smt2",0,0.863664352888491,0.922,1.099,1,0,0,
"QF_NIA_small\58.smt2",,958.31424644984,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,8.29736901535682,8.781,9.243,1,0,0,
"QF_NIA_small\586.smt2",0,10.151397515528,11.719,12.177,0,1,0,
"QF_NIA_small\599.smt2",0,0.178096186085499,0.203,0.408,1,0,0,
"QF_NIA_small\604.smt2",0,1.2337463708005,1.422,1.629,0,1,0,
"QF_NIA_small\624.smt2",0,0.106344042293615,0.125,0.212,1,0,0,
"QF_NIA_small\625.smt2",0,0.248469172297297,0.281,0.465,1,0,0,
"QF_NIA_small\65.smt2",,933.928571428571,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.157151442307692,0.188,0.288,1,0,0,
"QF_NIA_small\673.smt2",0,24.4586664616646,28.516,29.669,1,0,0,
"QF_NIA_small\677.smt2",0,0.475899542429285,0.547,0.72,1,0,0,
"QF_NIA_small\701.smt2",0,0.0541407867494824,0.063,0.184,1,0,0,
"QF_NIA_small\706.smt2",0,0.0855320540776276,0.094,0.608,1,0,0,
"QF_NIA_small\707.smt2",0,0.0857564494971579,0.094,0.199,1,0,0,
"QF_NIA_small\709.smt2",0,0.0686423771524569,0.078,0.166,1,0,0,
"QF_NIA_small\711.smt2",0,0.0852717391304348,0.094,0.207,1,0,0,
"QF_NIA_small\722.smt2",0,0.0567984361424848,0.063,0.16,1,0,0,
"QF_NIA_small\73.smt2",,901.724137931034,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.041202731092437,0.047,0.178,1,0,0,
"QF_NIA_small\74.smt2",0,0.0579565602836879,0.063,0.098,1,0,0,
"QF_NIA_small\75.smt2",0,0.0845730918499353,0.094,0.202,1,0,0,
"QF_NIA_small\750.smt2",0,0.280699871189352,0.313,0.463,1,0,0,
"QF_NIA_small\781.smt2",0,0.0713078097731239,0.078,0.196,1,0,0,
"QF_NIA_small\788.smt2",0,0.0648304244347481,0.078,0.212,1,0,0,
"QF_NIA_small\798.smt2",0,0.157495619798511,0.172,0.233,1,0,0,
"QF_NIA_small\808.smt2",0,0.0661422501011736,0.078,0.537,1,0,0,
"QF_NIA_small\821.smt2",0,0.275890445644835,0.391,0.603,1,0,0,
"QF_NIA_small\824.smt2",0,0.269558376736111,0.297,0.464,1,0,0,
"QF_NIA_small\828.smt2",0,0.0901546493301812,0.109,0.237,1,0,0,
"QF_NIA_small\83.smt2",0,1.74799465240642,2.031,2.227,0,1,0,
"QF_NIA_small\841.smt2",0,0.0991818378846987,0.109,0.208,1,0,0,
"QF_NIA_small\843.smt2",0,0.271490863787375,0.234,0.395,1,0,0,
"QF_NIA_small\849.smt2",0,0.0967494714587738,0.109,0.28,1,0,0,
