,"smt.arith.nl.branching=false","-file:{0} smt.arith.nl.branching=false",,,,,,
,"RV 11681","T_norm 11681","T_cpu 11681","T_wc 11681","# SAT 11681","# UNSAT 11681","# UNKNOWN 11681",
"QF_NIA_small\781.smt2",0,0.119844179651696,0.125,0.235,1,0,0,
"QF_NIA_small\788.smt2",0,0.160806127012522,0.172,0.252,1,0,0,
"QF_NIA_small\798.smt2",0,0.171964050854888,0.188,0.286,1,0,0,
"QF_NIA_small\808.smt2",0,0.173617817479478,0.172,0.288,1,0,0,
"QF_NIA_small\821.smt2",0,0.34168118466899,0.375,0.536,1,0,0,
"QF_NIA_small\824.smt2",0,0.246424611973392,0.266,0.441,1,0,0,
"QF_NIA_small\828.smt2",0,0.27264828544949,0.281,0.519,1,0,0,
"QF_NIA_small\83.smt2",0,1.65488424924275,1.828,2.028,0,1,0,
"QF_NIA_small\841.smt2",0,0.253719275549806,0.281,0.465,1,0,0,
"QF_NIA_small\843.smt2",0,0.239623760241483,0.266,0.45,1,0,0,
"QF_NIA_small\849.smt2",0,0.26587918660287,0.266,0.463,1,0,0,
"QF_NIA_small\866.smt2",0,40.0505546075085,44.875,46.709,1,0,0,
"QF_NIA_small\888.smt2",0,0.0775320208728653,0.078,0.208,1,0,0,
"QF_NIA_small\891.smt2",0,0.0691359983079526,0.078,0.186,1,0,0,
"QF_NIA_small\909.smt2",0,0.0897303921568628,0.109,0.24,1,0,0,
"QF_NIA_small\93.smt2",0,21.1350086095566,23.469,24.424,1,0,0,
"QF_NIA_small\940.smt2",0,0.321562232677502,0.359,0.533,1,0,0,
"QF_NIA_small\946.smt2",0,0.107568901686549,0.125,0.238,1,0,0,
"QF_NIA_small\947.smt2",0,0.11404273877017,0.125,0.23,1,0,0,
"QF_NIA_small\966.smt2",,895.93147751606,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,887.568943572338,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.248574144486692,0.281,0.521,1,0,0,
"QF_NIA_small\99.smt2",,894.399315946986,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.319648171768707,0.359,0.604,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,0.648500236183278,0.656,1.038,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.039225,0.047,0.398,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0279141759180188,0.031,0.153,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0420869098712446,0.047,0.23,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0385163000785546,0.047,0.311,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.69334456613311,11,11.858,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0573716542343133,0.063,0.226,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.137237595419847,0.172,0.236,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.145148756660746,0.156,0.225,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0560197086546701,0.063,0.086,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0540959867604468,0.063,0.405,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.292113494191242,0.313,0.584,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,10.2580050616197,11.141,11.683,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.128973038141166,0.141,0.397,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0297429481346679,0.031,0.094,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.555738021638331,0.516,0.641,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.107480228471,4.469,4.876,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,32.1625705295139,35.422,36.865,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0281424881618597,0.031,0.227,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0708748915871639,0.078,0.404,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0271603656003324,0.031,0.274,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.73833420229405,1.594,1.932,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,16.1780795504628,17.547,19.446,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,16.2426546391753,18.828,19.71,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0266401792991035,0.031,0.276,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.75935900170649,6.453,6.813,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0292113494191242,0.031,0.114,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,19.7497980613893,23.375,24.612,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0850498699045967,0.094,0.287,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.65236445169181,1.938,2.468,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.629450291088222,0.672,1.855,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,28.6527280858676,30.625,31.818,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.780025889239082,0.828,1.107,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.0945115654688146,0.109,0.184,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.485858794384806,0.563,0.71,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0752734599884856,0.063,0.201,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,8.63706712523719,8.703,9.074,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.192941465814068,0.188,0.316,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0595943482224248,0.063,0.284,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0918556804496186,0.109,0.263,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0818893528183716,0.094,0.174,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0578028293545535,0.063,0.187,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.632406287787182,0.75,0.935,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0411681360201511,0.047,0.114,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.042803360977739,0.047,0.099,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.68766922382671,3.906,4.178,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,63.8600469728601,73.109,75.993,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.33665008291874,5,5.268,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,8.07883657495256,8.141,8.486,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.56514649272883,3.984,4.406,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0604764107308048,0.063,0.159,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.53308969769292,0.641,0.777,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.587118838763575,0.672,1.057,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0458235981308411,0.047,0.171,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.135757960313798,0.141,0.378,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0522373152217339,0.063,0.172,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.31351647206005,0.359,0.55,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,7.22871267150928,8.563,8.999,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.161238789237668,0.172,0.274,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0424696838458207,0.047,0.09,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.267930327868853,0.313,0.477,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0536300246103363,0.063,0.456,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.110244519392917,0.156,0.38,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,14.5548439683279,14.938,15.526,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0279499786233433,0.031,0.292,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.66324116904962,1.891,2.1,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.13034448382809,0.141,0.246,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.057296231375986,0.063,0.118,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.375718390804598,0.406,0.665,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0579565602836879,0.063,0.128,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,19.5260667067308,23.297,24.485,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.114092495636998,0.125,0.175,0,1,0,
