,"z3legacy","{0} smt.arith.solver=2",,,,,,
,"RV 11746","T_norm 11746","T_cpu 11746","T_wc 11746","# SAT 11746","# UNSAT 11746","# UNKNOWN 11746",
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20690_terminationG_0.smt2",0,180.317870895825,212.641,221.265,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20693_edge_closing_0.smt2",0,10.5000547045952,11.469,11.986,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20694_edge_closing_0.smt2",,900.172117039587,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__terminationS_1_0.smt2",0,0.41565996948118,0.391,0.507,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Benghazi_true-termination.c__p20729_terminationG_0.smt2",0,1.28471940842788,1.516,1.664,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1_true-termination.c__p20785_terminationG_0.smt2",0,0.421230670103093,0.469,0.658,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1_true-termination.c__p20786_terminationG_0.smt2",0,0.947463768115942,1.094,1.265,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20762_terminationG_0.smt2",0,7.84699923547401,7.359,7.692,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20763_terminationG_0.smt2",,885.315277190013,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20774_edge_closing_0.smt2",0,4.05757452021233,4.75,4.996,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c__p20777_edge_closing_0.smt2",0,1.91851934192975,2.063,2.228,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-ICALP2005-Fig1_true-termination.c__p20810_terminationG_0.smt2",0,0.109689597315436,0.125,0.182,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BradleyMannaSipma-ICALP2005-Fig1_true-termination.c__p20814_terminationG_0.smt2",0,6.75397350993377,7.313,7.652,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c__p20828_terminationG_0.smt2",0,0.863081517183571,0.984,1.15,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c__p20837_terminationG_0.smt2",0,0.382796588594705,0.359,0.477,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20849_terminationG_0.smt2",0,0.470323741007194,0.531,0.686,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20853_terminationG_0.smt2",0,0.553504233301976,0.563,0.717,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20854_terminationG_0.smt2",0,47.5506068487213,52.438,54.566,0,0,1,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20855_terminationG_0.smt2",,941.070625281152,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20858_terminationG_0.smt2",0,34.3761024779504,39.125,40.744,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20859_terminationG_0.smt2",,856.324191567744,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c__p20860_terminationG_0.smt2",,695.247590561648,1000,1000,0,0,0,
