,"smt.arith.nl.propagate_monomial_bounds=false","-file:{0} smt.arith.nl.propagate_monomial_bounds=false",,,,,,
,"RV 11694","T_norm 11694","T_cpu 11694","T_wc 11694","# SAT 11694","# UNSAT 11694","# UNKNOWN 11694",
"QF_NIA_small\498.smt2",0,0.110058922558923,0.125,0.233,1,0,0,
"QF_NIA_small\500.smt2",0,0.0776732673267327,0.094,0.162,1,0,0,
"QF_NIA_small\507.smt2",0,0.0885840108401084,0.109,0.185,1,0,0,
"QF_NIA_small\514.smt2",0,0.105699272433306,0.125,0.937,1,0,0,
"QF_NIA_small\520.smt2",0,0.0821638039379975,0.094,0.181,1,0,0,
"QF_NIA_small\527.smt2",0,0.0843911359724613,0.094,0.191,1,0,0,
"QF_NIA_small\535.smt2",0,0.109551738583997,0.125,0.172,1,0,0,
"QF_NIA_small\54.smt2",,913.138367525098,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.140349935594676,0.156,0.576,1,0,0,
"QF_NIA_small\551.smt2",0,0.0566999132697311,0.063,0.159,1,0,0,
"QF_NIA_small\572.smt2",0,205.742388888889,221.281,230.081,1,0,0,
"QF_NIA_small\573.smt2",0,1.05009266886326,1.219,1.36,1,0,0,
"QF_NIA_small\574.smt2",0,0.899409650924025,1.047,1.204,1,0,0,
"QF_NIA_small\58.smt2",,936.017897091723,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,7.72419255928046,9.031,9.544,1,0,0,
"QF_NIA_small\586.smt2",0,9.74076585976628,11.156,11.675,0,1,0,
"QF_NIA_small\599.smt2",0,0.199487794245859,0.219,0.242,1,0,0,
"QF_NIA_small\604.smt2",0,1.16886694386694,1.344,1.472,0,1,0,
"QF_NIA_small\624.smt2",0,0.0680705955851728,0.078,0.183,1,0,0,
"QF_NIA_small\625.smt2",0,0.260950630252101,0.297,0.401,1,0,0,
"QF_NIA_small\65.smt2",,880.842105263158,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.1563995215311,0.172,0.859,1,0,0,
"QF_NIA_small\673.smt2",0,28.3966419537724,31.125,32.406,1,0,0,
"QF_NIA_small\677.smt2",0,0.765082728006457,0.906,1.063,1,0,0,
"QF_NIA_small\701.smt2",0,0.0437583668005355,0.047,0.174,1,0,0,
"QF_NIA_small\706.smt2",0,0.0666004482477588,0.078,0.283,1,0,0,
"QF_NIA_small\707.smt2",0,0.0829631979695431,0.094,0.205,1,0,0,
"QF_NIA_small\709.smt2",0,0.0399928629690049,0.047,0.301,1,0,0,
"QF_NIA_small\711.smt2",0,0.0992248482220295,0.109,0.176,1,0,0,
"QF_NIA_small\722.smt2",0,0.057145979020979,0.063,0.124,1,0,0,
"QF_NIA_small\73.smt2",,897.468897468897,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.104528323435359,0.109,0.178,1,0,0,
"QF_NIA_small\74.smt2",0,0.0532369706840391,0.063,0.114,1,0,0,
"QF_NIA_small\75.smt2",0,0.0802147239263804,0.094,0.236,1,0,0,
"QF_NIA_small\750.smt2",0,0.402521231422505,0.453,0.564,1,0,0,
"QF_NIA_small\781.smt2",0,0.0567491319444444,0.063,0.121,1,0,0,
"QF_NIA_small\788.smt2",0,0.0828930684699915,0.094,0.131,1,0,0,
"QF_NIA_small\798.smt2",0,0.179306088864509,0.156,0.196,1,0,0,
"QF_NIA_small\808.smt2",0,0.188647691500525,0.172,0.222,1,0,0,
"QF_NIA_small\821.smt2",0,0.466964285714286,0.516,0.657,1,0,0,
"QF_NIA_small\824.smt2",0,0.241918807139747,0.266,0.566,1,0,0,
"QF_NIA_small\828.smt2",0,0.233776819520404,0.266,0.29,1,0,0,
"QF_NIA_small\83.smt2",0,2.09356319385141,2.344,2.486,0,1,0,
"QF_NIA_small\841.smt2",0,0.268393474503025,0.297,1.126,1,0,0,
"QF_NIA_small\843.smt2",0,0.282558007279345,0.297,0.48,1,0,0,
"QF_NIA_small\849.smt2",0,0.278004700089525,0.297,0.427,1,0,0,
"QF_NIA_small\866.smt2",0,39.7610418427726,44.969,46.737,1,0,0,
"QF_NIA_small\888.smt2",0,0.0998745089480576,0.109,0.227,1,0,0,
"QF_NIA_small\891.smt2",0,0.0289397963700753,0.031,0.095,1,0,0,
"QF_NIA_small\909.smt2",0,0.113844144536352,0.125,0.187,1,0,0,
"QF_NIA_small\93.smt2",0,22.9809840996992,25.563,26.735,1,0,0,
"QF_NIA_small\940.smt2",0,0.306862244897959,0.359,0.579,1,0,0,
"QF_NIA_small\946.smt2",0,0.104935794542536,0.125,0.199,1,0,0,
