,"enable_gcd=false","-file:{0} smt.arith.enable_gcd=false",,,,,,
,"RV 11679","T_norm 11679","T_cpu 11679","T_wc 11679","# SAT 11679","# UNSAT 11679","# UNKNOWN 11679",
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0359796367638966,0.031,0.154,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0264248181083266,0.031,0.14,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0575991189427313,0.063,0.215,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.24817073170732,10.875,11.366,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0572210065645514,0.063,0.166,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.155520112456747,0.172,0.279,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.128522280471822,0.141,0.314,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0617327667610954,0.063,0.15,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0289397963700752,0.031,0.229,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.318089666357739,0.328,0.674,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,10.2040343915344,11.063,11.549,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.146252796420581,0.125,0.248,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0435059893522627,0.047,0.151,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.512005358615004,0.594,0.819,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.43853109137056,5.016,5.273,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,35.4219755469755,39.469,41.067,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.035633175872093,0.047,0.193,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0289654408506867,0.031,0.233,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0291073018699911,0.031,0.284,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.19954128440367,1.438,1.624,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,13.6008830134749,15.922,16.577,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,16.5625784518829,18.922,19.768,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.044777397260274,0.047,0.167,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,6.22546918443003,6.422,6.72,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0575991189427313,0.063,0.183,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,20.9453883495146,19.594,20.338,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.102308294209703,0.125,0.279,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.61238789237668,1.891,2.148,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.592011642949547,0.656,0.858,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,30.2078741670939,28.172,29.366,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.783419421487603,0.906,1.165,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.111308172531215,0.094,0.206,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.458235981308411,0.516,0.739,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0863986784140969,0.094,0.208,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,9.82334759866856,9.875,10.405,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.207407994923858,0.234,0.462,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0478937728937729,0.063,0.215,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.102308294209703,0.125,0.283,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0801491622394769,0.094,0.438,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0666275988585406,0.078,0.199,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.627818371607515,0.719,0.937,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0293952338129497,0.031,0.208,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0578795927401505,0.063,0.182,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,4.05706161660777,4.391,4.777,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,65.4020144628099,75.656,78.705,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.90865587986464,5.547,5.859,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,9.62976819248826,11.766,12.319,0,1,0,
