,"smt.arith.nl.horner=false","-file:{0} smt.arith.nl.horner=false",,,,,,
,"RV 11687","T_norm 11687","T_cpu 11687","T_wc 11687","# SAT 11687","# UNSAT 11687","# UNKNOWN 11687",
"QF_NIA_small\574.smt2",0,0.870119787045253,0.938,1.139,1,0,0,
"QF_NIA_small\58.smt2",,921.180096873624,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,7.64178820200261,8.391,8.738,1,0,0,
"QF_NIA_small\586.smt2",0,9.54526907807675,10.344,10.775,0,1,0,
"QF_NIA_small\599.smt2",0,0.193826768318509,0.219,0.29,1,0,0,
"QF_NIA_small\604.smt2",0,1.30530159730979,1.484,1.73,0,1,0,
"QF_NIA_small\624.smt2",0,0.0683838912133891,0.078,0.185,1,0,0,
"QF_NIA_small\625.smt2",0,0.262784725323805,0.281,0.898,1,0,0,
"QF_NIA_small\65.smt2",,867.330016583748,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.139036580178647,0.156,0.271,1,0,0,
"QF_NIA_small\673.smt2",0,26.2201878834356,24.516,25.515,1,0,0,
"QF_NIA_small\677.smt2",0,0.416303066037736,0.422,0.83,1,0,0,
"QF_NIA_small\701.smt2",0,0.0460603569751057,0.047,0.155,1,0,0,
"QF_NIA_small\706.smt2",0,0.0891882673942701,0.094,0.203,1,0,0,
"QF_NIA_small\707.smt2",0,0.0937052078356426,0.094,0.195,1,0,0,
"QF_NIA_small\709.smt2",0,0.04746490803485,0.047,0.161,1,0,0,
"QF_NIA_small\711.smt2",0,0.117346429996011,0.141,0.227,1,0,0,
"QF_NIA_small\722.smt2",0,0.0658756549778315,0.078,0.168,1,0,0,
"QF_NIA_small\73.smt2",,878.253568429891,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0866276501766785,0.094,0.181,1,0,0,
"QF_NIA_small\74.smt2",0,0.0562607573149742,0.063,0.158,1,0,0,
"QF_NIA_small\75.smt2",0,0.0781374501992032,0.094,0.235,1,0,0,
"QF_NIA_small\750.smt2",0,0.245662024756852,0.266,0.468,1,0,0,
"QF_NIA_small\781.smt2",0,0.0834574468085106,0.094,0.181,1,0,0,
"QF_NIA_small\788.smt2",0,0.0766952135147818,0.078,0.184,1,0,0,
"QF_NIA_small\798.smt2",0,0.153593549765058,0.172,0.272,1,0,0,
"QF_NIA_small\808.smt2",0,0.0689028246205734,0.078,0.474,1,0,0,
"QF_NIA_small\821.smt2",0,0.323371805441055,0.375,0.583,1,0,0,
"QF_NIA_small\824.smt2",0,0.246097209920283,0.266,0.444,1,0,0,
"QF_NIA_small\828.smt2",0,0.0875558035714286,0.094,0.203,1,0,0,
"QF_NIA_small\83.smt2",0,1.72978790424192,1.969,2.204,0,1,0,
"QF_NIA_small\841.smt2",0,0.114743308468627,0.125,0.223,1,0,0,
"QF_NIA_small\843.smt2",0,0.240349264705882,0.266,0.995,1,0,0,
"QF_NIA_small\849.smt2",0,0.112958963282937,0.125,0.228,1,0,0,
"QF_NIA_small\866.smt2",0,39.8760373443983,45.938,47.785,1,0,0,
"QF_NIA_small\888.smt2",0,0.0849761698440208,0.094,0.209,1,0,0,
"QF_NIA_small\891.smt2",0,0.0553556308213378,0.063,0.454,1,0,0,
"QF_NIA_small\909.smt2",0,0.0593508851566046,0.063,0.152,1,0,0,
"QF_NIA_small\93.smt2",0,21.3598867771937,25.25,26.267,1,0,0,
"QF_NIA_small\940.smt2",0,0.206137387387387,0.219,0.392,1,0,0,
"QF_NIA_small\946.smt2",0,0.0530210867802109,0.063,0.172,1,0,0,
"QF_NIA_small\947.smt2",0,0.0867809734513274,0.094,0.165,1,0,0,
"QF_NIA_small\966.smt2",,943.192064923354,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,937.275985663082,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.167160622966062,0.172,0.259,1,0,0,
"QF_NIA_small\99.smt2",,815.91263650546,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.262827972915785,0.297,0.405,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,0.64361646418098,0.734,0.974,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0284115601912212,0.031,0.143,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0406729572791373,0.047,0.097,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0282153646957272,0.031,0.097,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0723815323294952,0.078,0.232,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.30014887516541,10.078,10.491,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0553790766624312,0.063,0.113,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.141015962036238,0.156,0.276,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.146163617886179,0.172,0.212,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0270144628099173,0.031,0.174,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0295280036133695,0.031,0.121,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.264355034371209,0.313,0.459,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,9.86738799478034,10.844,11.42,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.1442519858782,0.156,0.506,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0295013537906137,0.031,0.143,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.49828506097561,0.547,0.822,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.07561078348778,4.625,4.937,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,27.4177168483197,28.859,30.359,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0568231203824424,0.063,0.162,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0289014146772767,0.031,0.124,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0423230470435908,0.047,0.107,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.18504531722054,1.313,1.56,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,14.3731292158516,16.297,17.017,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,16.1363238512035,17.625,18.656,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.028251944684529,0.031,0.136,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,6.02371273712737,6.375,6.742,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0288376709307455,0.031,0.091,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,21.2858919098143,23.016,23.972,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0693413237165889,0.078,0.183,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.71213443910956,1.875,2.438,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.623393449419569,0.719,0.997,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,29.5269123334766,32.844,34.161,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.785818146568437,0.969,1.163,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.101423980496454,0.109,0.186,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.508924599644128,0.547,0.681,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0710906916050457,0.078,0.171,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,9.80337510993843,10.656,11.191,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.201952780229479,0.219,0.431,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.043895478961504,0.047,0.147,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0790507859733978,0.094,0.224,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.107304062371769,0.125,0.34,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0737533844765343,0.078,0.146,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.658618046430136,0.719,0.951,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.041376582278481,0.047,0.2,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0265860105734038,0.031,0.157,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.93859938434476,4.281,4.64,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,65.956772557947,76.172,79.268,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.32201388888889,5.578,5.999,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,4.84408353858785,5.641,6.017,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.48629479522184,3.906,4.169,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0536520311858843,0.063,0.22,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.298587740384615,0.297,0.44,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.730847216133275,0.797,1.091,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0454835343228201,0.047,0.146,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.103400553578489,0.125,0.469,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0570462478184991,0.063,0.271,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.317634717314488,0.344,0.51,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,7.63656665139716,7.969,8.319,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.159239371124889,0.172,0.235,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0544338051623647,0.063,0.146,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.298587740384615,0.297,0.426,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0561399742378703,0.063,0.251,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.112087441063009,0.125,0.249,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,12.336282938812,13.203,13.787,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.028276384083045,0.031,0.263,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.69521120869929,1.938,2.138,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.138376058325494,0.141,0.217,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0437974542206342,0.047,0.155,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.402350382003395,0.453,0.613,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0415167231160034,0.047,0.161,1,0,0,
