,"smt.arith.gomory_use_closest_int=false","-file:{0} smt.arith.gomory_use_closest_int=false",,,,,,
,"RV 11690","T_norm 11690","T_cpu 11690","T_wc 11690","# SAT 11690","# UNSAT 11690","# UNKNOWN 11690",
"QF_NIA_small\849.smt2",0,0.0988818063958513,0.109,0.206,1,0,0,
"QF_NIA_small\866.smt2",0,41.0213011889036,44.531,46.374,1,0,0,
"QF_NIA_small\888.smt2",0,0.101694444444444,0.109,0.219,1,0,0,
"QF_NIA_small\891.smt2",0,0.0533673469387755,0.063,0.19,1,0,0,
"QF_NIA_small\909.smt2",0,0.0565772392903505,0.063,0.187,1,0,0,
"QF_NIA_small\93.smt2",0,20.8169286979628,22.469,23.422,1,0,0,
"QF_NIA_small\940.smt2",0,0.147174696082846,0.156,0.202,1,0,0,
"QF_NIA_small\946.smt2",0,0.0712145969498911,0.078,0.203,1,0,0,
"QF_NIA_small\947.smt2",0,0.0766233005157056,0.078,0.172,1,0,0,
"QF_NIA_small\966.smt2",,1007.70712909441,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,928.539724811363,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.126423506660937,0.141,0.241,1,0,0,
"QF_NIA_small\99.smt2",,868.04979253112,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.30154520295203,0.313,0.495,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,1.14534347625634,1.188,1.434,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0544791666666667,0.063,0.154,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0282275474956822,0.031,0.107,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0136425292153589,0.016,0.151,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0751436781609195,0.078,0.173,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.81033764068362,11.25,11.79,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0383431085043988,0.031,0.07,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.152745327102804,0.172,0.24,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.137111996644295,0.156,0.266,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0439939434724092,0.047,0.242,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0132606490872211,0.016,0.095,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.266321826758148,0.297,1.136,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,9.65250511247444,11.281,11.814,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.128860052562418,0.141,0.194,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0603090405904059,0.063,0.106,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.520975637522769,0.547,0.794,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,5.63164406158358,7.344,7.703,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,32.162114465682,35.391,36.815,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0424329294677629,0.047,0.193,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0534764826175869,0.063,0.155,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0527643260694108,0.063,0.159,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.25333296606435,1.359,1.837,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,13.5417646430098,15.141,15.76,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,19.6480621033545,20.719,21.56,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0598398169336384,0.063,0.151,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.65456961233848,6.484,6.841,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0279978586723769,0.031,0.094,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,23.8711051606622,23.438,24.324,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0793065103113627,0.094,0.533,1,0,0,
