,"smt.arith.gomory_polarity=false","-file:{0} smt.arith.gomory_polarity=false",,,,,,
,"RV 11688","T_norm 11688","T_cpu 11688","T_wc 11688","# SAT 11688","# UNSAT 11688","# UNKNOWN 11688",
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.71920330915685,3.922,4.346,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,60.5725710900474,73.313,76.227,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,5.23475887170155,5.5,5.9,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,7.07811167945439,7.938,8.274,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.62751524390244,4.266,4.624,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0555201698513801,0.063,0.117,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.79973865658363,0.859,0.998,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.654318973020017,0.719,0.844,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.054253112033195,0.063,0.403,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.16189945517583,0.156,0.202,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0437974542206342,0.047,0.157,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.346663720724702,0.375,0.71,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,7.10786647475642,7.672,8.033,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.14139303971687,0.172,0.258,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0403217516447369,0.047,0.209,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.284760430994956,0.297,0.599,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0595129722348657,0.063,0.171,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.121164538714992,0.141,0.275,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,14.4958385678392,16.547,17.277,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0527217741935484,0.063,0.44,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.90895,2.281,2.626,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.107657472210786,0.125,0.227,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0577772867874503,0.063,0.157,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.388180794430794,0.453,0.579,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0527217741935484,0.063,0.455,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,22.6087400502723,25.797,26.925,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.0990530303030303,0.109,0.283,0,1,0,
