,"smt.arith.gomory_use_big_cuts=false","-file:{0} smt.arith.gomory_use_big_cuts=false",,,,,,
,"RV 11689","T_norm 11689","T_cpu 11689","T_wc 11689","# SAT 11689","# UNSAT 11689","# UNKNOWN 11689",
"QF_NIA_small\83.smt2",0,1.77152534965035,1.938,2.172,0,1,0,
"QF_NIA_small\841.smt2",0,0.0691652560304697,0.078,0.199,1,0,0,
"QF_NIA_small\843.smt2",0,0.2615,0.297,0.5,1,0,0,
"QF_NIA_small\849.smt2",0,0.128522280471822,0.141,0.212,1,0,0,
"QF_NIA_small\866.smt2",0,39.763350998777,46.625,48.397,1,0,0,
"QF_NIA_small\888.smt2",0,0.0835641244141457,0.094,0.205,1,0,0,
"QF_NIA_small\891.smt2",0,0.0264569000404694,0.031,0.168,1,0,0,
"QF_NIA_small\909.smt2",0,0.0394458970233307,0.047,0.161,1,0,0,
"QF_NIA_small\93.smt2",0,23.2488601823708,29.25,30.417,1,0,0,
"QF_NIA_small\940.smt2",0,0.11310553633218,0.125,0.287,1,0,0,
"QF_NIA_small\946.smt2",0,0.0708134748700173,0.078,0.243,1,0,0,
"QF_NIA_small\947.smt2",0,0.069785439795047,0.078,0.187,1,0,0,
"QF_NIA_small\966.smt2",,882.328131590046,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,913.93621668851,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.145536509349955,0.156,0.283,1,0,0,
"QF_NIA_small\99.smt2",,879.361076082388,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.267930327868852,0.297,0.453,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,1.15810451727192,1.25,1.535,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0277247667514843,0.031,0.144,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0133581937065795,0.016,0.264,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0143871038732394,0.016,0.12,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0534109477124183,0.063,0.144,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.3173344017094,10.422,10.886,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0389755564387917,0.047,0.082,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.125346186621219,0.141,0.491,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.124655720338983,0.141,0.287,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0428969816272966,0.047,0.159,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0289654408506867,0.031,0.262,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.289269911504426,0.234,0.285,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,9.05234638047139,10.281,10.739,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.128973038141166,0.141,0.268,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0259630659253376,0.031,0.274,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.584337757313109,0.516,0.615,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.39941363437089,4.797,5.166,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,32.5977696078431,39.734,41.294,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0311309523809524,0.031,0.111,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0425988271068636,0.047,0.254,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0461905322656618,0.047,0.45,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.25010864841373,1.375,1.663,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,16.1072994300745,17.563,18.286,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,15.622490070609,16.922,17.608,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0265752032520325,0.031,0.668,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.57816364385821,6.469,6.939,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0539397689768977,0.063,0.133,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,20.2655767250258,18.813,19.635,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0525311370028124,0.063,0.232,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.77385120350109,1.938,2.241,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.655423421501707,0.734,1.312,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,28.2412385607321,32.453,33.85,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.717194092827004,0.813,0.94,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.101694444444444,0.109,0.192,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.464621655518395,0.531,0.831,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0603647276084949,0.063,0.138,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,9.23170861774744,10.344,10.857,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.1634375,0.172,0.295,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0475800582241631,0.047,0.206,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.110430743243243,0.125,0.153,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0993972632493484,0.109,0.503,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0582924654480606,0.063,0.24,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.640360641139804,0.688,0.985,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0399928629690049,0.047,0.276,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0566262451277609,0.063,0.113,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.51006711409396,4,4.44,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,56.1550916063059,63,65.561,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,5.9071807168097,5.594,6.016,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,8.52982292637465,8.75,9.141,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.65656779661017,4.125,4.445,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0566017316017316,0.063,0.178,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.718245515695067,0.766,1.002,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.631244752308984,0.719,1.081,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0291202672605791,0.031,0.263,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.125346186621219,0.141,0.222,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0417287234042553,0.047,0.178,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.348927198975235,0.391,0.628,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,8.15723006272401,8.703,9.06,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.16277161611589,0.172,0.323,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0293161434977578,0.031,0.266,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.249417125900805,0.281,0.394,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0439742152466368,0.047,0.137,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.127353896103896,0.141,0.257,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,12.5653953229399,13.484,14.16,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0259940357852883,0.031,0.116,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.69365284974093,1.875,2.172,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.111418832552194,0.125,0.194,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0439742152466368,0.047,0.141,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.414891205802357,0.438,0.737,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0401566339066339,0.047,0.163,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,23.2561834844304,28.203,29.351,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.108751188212928,0.109,0.237,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.34753869303526,9.281,10.02,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.17917209201389,10.109,10.504,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0964233038348082,0.109,0.165,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0636562804284325,0.063,0.111,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.85569422776911,3.5,3.934,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.18888482441472,1.359,1.579,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0429721735319895,0.047,0.168,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0591896785875962,0.063,0.438,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0607292150487692,0.063,0.116,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,1022.48289345064,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.109966358284272,0.125,0.198,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.11971213371853,1.297,1.473,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0429721735319895,0.047,0.155,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.52494600431965,1.688,1.849,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.236758714350385,0.25,0.523,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.68721258361204,5.359,5.637,1,0,0,
"QF_NIA_small\aproveSMT3496695621216907819.smt2",0,5.25083440999139,5.828,6.108,0,1,0,
"QF_NIA_small\aproveSMT3571876635740058861.smt2",0,13.2996980956805,13.688,14.311,0,1,0,
