,"z3","{0}",,,,,,
,"RV 11744","T_norm 11744","T_cpu 11744","T_wc 11744","# SAT 11744","# UNSAT 11744","# UNKNOWN 11744",
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.460769071310116,0.531,0.732,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0883445945945946,0.094,0.205,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,9.70633187772926,10.625,11.092,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.154717082616179,0.172,0.348,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0349412079102084,0.031,0.366,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0891361511492014,0.109,0.277,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0824747687132044,0.094,0.245,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.040140196479738,0.047,0.177,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.664080135440181,0.703,0.976,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.040521694214876,0.047,0.414,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.043895478961504,0.047,0.188,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,4.00716757291152,3.875,4.249,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,51.9570801251201,51.609,53.662,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,5.16734773846843,5.516,5.756,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,7.05429841897233,8.531,9.025,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,4.05404379878578,4.469,5.004,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0440928507194245,0.047,0.256,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.68244034938219,0.766,0.934,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.642473926995587,0.766,0.938,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0264141414141414,0.031,0.258,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.152550912176496,0.172,0.242,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0588963963963964,0.063,0.152,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.323202247191011,0.344,0.513,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,7.68392520427404,11.688,12.161,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.165674100354789,0.156,0.253,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0272395833333333,0.031,0.167,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.238390175890176,0.266,0.445,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.03231586752348,0.031,0.208,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.140229515229515,0.156,0.287,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,12.2947813442482,13.641,14.257,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0566999132697311,0.063,0.296,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.91070867379007,2.906,3.176,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.108751188212928,0.109,0.237,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0308178818353237,0.047,0.245,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.442440443963183,0.391,0.546,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0413591311682834,0.047,0.159,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,22.4910312755519,26.297,27.424,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.100532732864675,0.109,0.251,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,9.08070614239181,9.328,9.671,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,8.64512083903328,9.063,9.472,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.12460292249047,0.141,0.252,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0276661024121879,0.031,0.185,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.49193462521295,2.797,2.995,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.03322557471264,1.203,1.369,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0421955679862306,0.047,0.439,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0437388492417484,0.047,0.178,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0410905091137649,0.063,0.218,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,882.328131590046,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.134405838815789,0.156,0.272,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.12022188049209,1.219,1.373,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0415343074968234,0.047,0.187,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.40773040482343,1.563,1.741,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.235161870503597,0.266,0.465,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.05370836985101,4.422,4.612,1,0,0,
"QF_NIA_small\aproveSMT3496695621216907819.smt2",0,6.27024371069182,7.625,7.984,0,1,0,
"QF_NIA_small\aproveSMT3571876635740058861.smt2",0,12.6279155344203,13.328,13.888,0,1,0,
"QF_NIA_small\aproveSMT3611058756933534688.smt2",0,0.0273192645215211,0.031,0.167,1,0,0,
"QF_NIA_small\aproveSMT3612851711724526218.smt2",0,0.892312324367724,1.063,1.267,1,0,0,
"QF_NIA_small\aproveSMT3778692042252886508.smt2",0,0.0437388492417484,0.047,0.164,1,0,0,
