path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10 result,hybrid-10 time,hybrid-10 memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08166.smt2,UNSAT,11,18000,UNSAT,11,18020
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10937.smt2,SAT,80,21060,SAT,33,52280
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08049.smt2,UNSAT,31,20870,UNSAT,43,53830
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00078.smt2,SAT,34,19380,SAT,23,51590
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04212.smt2,SAT,23,18690,SAT,23,51290
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15675.smt2,SAT,23,17900,SAT,11,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02385.smt2,SAT,23,19550,SAT,25,51200
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14853.smt2,UNSAT,13,17900,UNSAT,11,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01003.smt2,SAT,90,23330,SAT,85,55950
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14995.smt2,SAT,58,20610,SAT,67,53450
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04376.smt2,SAT,15,18790,SAT,27,51340
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02029.smt2,SAT,23,19000,SAT,32,51510
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06243.smt2,UNSAT,29,19830,UNSAT,20,19850
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07019.smt2,SAT,23,19470,SAT,29,52270
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08002.smt2,UNSAT,19,18000,UNSAT,17,18010
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10995.smt2,UNSAT,21,18780,UNSAT,28,51570
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13686.smt2,UNSAT,19,17990,UNSAT,17,18010
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05048.smt2,SAT,24,19940,SAT,45,52630
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06327.smt2,SAT,20,19610,SAT,40,52400
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01346.smt2,SAT,49,21440,SAT,65,54200
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10645.smt2,UNSAT,23,17990,UNSAT,20,18010
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13956.smt2,UNSAT,26,19500,UNSAT,19,19520
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13832.smt2,UNSAT,23,18010,UNSAT,20,18030
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04913.smt2,SAT,162,22570,SAT,179,55410
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14500.smt2,SAT,71,23600,SAT,83,56360
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06208.smt2,SAT,19,19110,SAT,25,51880
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07052.smt2,SAT,19,17900,SAT,25,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05167.smt2,SAT,19,19200,SAT,25,51790
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12966.smt2,SAT,85,23650,SAT,91,56550
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14937.smt2,SAT,27,19420,SAT,44,52250
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04259.smt2,SAT,35,19380,SAT,25,52170
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07136.smt2,UNSAT,34,17900,UNSAT,28,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance11828.smt2,UNSAT,71,24590,UNSAT,101,57760
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14818.smt2,SAT,84,21440,SAT,88,54360
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00913.smt2,SAT,17,18890,SAT,23,51500
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09090.smt2,UNSAT,52,20010,UNSAT,51,53000
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05003.smt2,SAT,51,19490,SAT,51,51930
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01269.smt2,SAT,24,19860,SAT,42,52660
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00033.smt2,SAT,28,18900,SAT,39,51670
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02062.smt2,SAT,18,18790,SAT,39,51600
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03238.smt2,SAT,17,18680,SAT,44,51190
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07194.smt2,SAT,152,21860,SAT,164,54750
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00157.smt2,SAT,43,21250,SAT,63,54110
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14645.smt2,SAT,145,26460,SAT,145,59110
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02826.smt2,SAT,15,18650,SAT,26,51330
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14783.smt2,SAT,105,21600,SAT,42,53590
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05797.smt2,SAT,22,19180,SAT,41,52010
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04091.smt2,SAT,67,22040,SAT,59,54740
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06884.smt2,UNSAT,41,19500,UNSAT,59,19520
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15711.smt2,SAT,87,23700,SAT,117,56370
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10721.smt2,SAT,134,22150,SAT,55,53790
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02942.smt2,SAT,57,20000,SAT,60,52730
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04661.smt2,SAT,23,18910,SAT,51,51710
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03764.smt2,SAT,41,19570,SAT,90,52360
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01735.smt2,SAT,41,19290,SAT,116,51980
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01651.smt2,SAT,59,18800,SAT,56,51550
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance11530.smt2,SAT,151,23630,SAT,185,56480
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13561.smt2,SAT,167,27410,SAT,175,60330
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03194.smt2,SAT,108,23180,SAT,116,55950
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13890.smt2,UNSAT,195,22300,UNSAT,205,55300
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05923.smt2,SAT,36,18650,SAT,60,51470
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12348.smt2,UNSAT,41,17900,UNSAT,26,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05847.smt2,SAT,90,19080,SAT,52,51840
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04705.smt2,SAT,48,18650,SAT,59,51410
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02692.smt2,SAT,48,19090,SAT,59,51860
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01981.smt2,SAT,44,20610,SAT,90,53530
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09258.smt2,SAT,133,24120,SAT,154,56760
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance11907.smt2,UNSAT,129,30330,UNSAT,146,63840
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01499.smt2,SAT,63,20860,SAT,58,53720
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07972.smt2,SAT,48,20580,SAT,70,53350
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00877.smt2,SAT,83,24980,SAT,102,57510
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02106.smt2,SAT,107,25150,SAT,123,57750
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15085.smt2,UNSAT,60,20070,UNSAT,34,20090
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06754.smt2,SAT,77,20110,SAT,54,52120
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08796.smt2,SAT,43,19210,SAT,68,51910
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14017.smt2,UNSAT,24,17900,UNSAT,10,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10319.smt2,UNSAT,74,19560,UNSAT,25,19580
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13588.smt2,SAT,218,27680,SAT,214,60290
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14352.smt2,UNSAT,274,23680,UNSAT,306,56930
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09660.smt2,UNSAT,27,17900,UNSAT,18,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13076.smt2,UNSAT,63,22610,UNSAT,34,22630
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance11027.smt2,UNSAT,43,17990,UNSAT,28,18010
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08922.smt2,UNSAT,43,19610,UNSAT,28,19630
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08846.smt2,UNSAT,38,19000,UNSAT,14,19020
